Sex	Autonomous Communities and Cities	Age	Periodo	Total
Both genders	National Total	From 25 years of age and over	2015QIV	19,13
Both genders	National Total	From 25 years of age and over	2015QIII	19,22
Both genders	National Total	From 25 years of age and over	2015QII	20,42
Both genders	National Total	From 25 years of age and over	2015QI	21,81
Both genders	National Total	From 25 years of age and over	2014QIV	21,64
Both genders	National Total	From 25 years of age and over	2014QIII	21,43
Both genders	National Total	From 25 years of age and over	2014QII	22,35
Both genders	National Total	From 25 years of age and over	2014QI	23,72
Both genders	National Total	From 25 years of age and over	2013QIV	23,48
Both genders	National Total	From 25 years of age and over	2013QIII	23,28
Both genders	National Total	From 25 years of age and over	2013QII	23,68
Both genders	National Total	From 25 years of age and over	2013QI	24,54
Both genders	National Total	From 25 years of age and over	2012QIV	23,46
Both genders	National Total	From 25 years of age and over	2012QIII	22,42
Both genders	National Total	From 25 years of age and over	2012QII	21,99
Both genders	National Total	From 25 years of age and over	2012QI	21,9
Both genders	National Total	From 25 years of age and over	2011QIV	20,37
Both genders	National Total	From 25 years of age and over	2011QIII	18,99
Both genders	National Total	From 25 years of age and over	2011QII	18,36
Both genders	National Total	From 25 years of age and over	2011QI	18,9
Both genders	National Total	From 25 years of age and over	2010QIV	18,02
Both genders	National Total	From 25 years of age and over	2010QIII	17,49
Both genders	National Total	From 25 years of age and over	2010QII	17,72
Both genders	National Total	From 25 years of age and over	2010QI	17,81
Both genders	National Total	From 25 years of age and over	2009QIV	16,65
Both genders	National Total	From 25 years of age and over	2009QIII	15,45
Both genders	National Total	From 25 years of age and over	2009QII	15,59
Both genders	National Total	From 25 years of age and over	2009QI	15,25
Both genders	National Total	From 25 years of age and over	2008QIV	12,06
Both genders	National Total	From 25 years of age and over	2008QIII	9,63
Both genders	National Total	From 25 years of age and over	2008QII	8,8
Both genders	National Total	From 25 years of age and over	2008QI	8,27
Both genders	National Total	From 25 years of age and over	2007QIV	7,37
Both genders	National Total	From 25 years of age and over	2007QIII	6,73
Both genders	National Total	From 25 years of age and over	2007QII	6,68
Both genders	National Total	From 25 years of age and over	2007QI	7,29
Both genders	National Total	From 25 years of age and over	2006QIV	7,07
Both genders	National Total	From 25 years of age and over	2006QIII	6,91
Both genders	National Total	From 25 years of age and over	2006QII	7,18
Both genders	National Total	From 25 years of age and over	2006QI	7,79
Both genders	National Total	From 25 years of age and over	2005QIV	7,41
Both genders	National Total	From 25 years of age and over	2005QIII	7,06
Both genders	National Total	From 25 years of age and over	2005QII	7,83
Both genders	National Total	From 25 years of age and over	2005QI	8,62
Both genders	National Total	From 25 years of age and over	2004QIV	9,13
Both genders	National Total	From 25 years of age and over	2004QIII	9,22
Both genders	National Total	From 25 years of age and over	2004QII	9,56
Both genders	National Total	From 25 years of age and over	2004QI	10
Both genders	National Total	From 25 years of age and over	2003QIV	9,78
Both genders	National Total	From 25 years of age and over	2003QIII	9,71
Both genders	National Total	From 25 years of age and over	2003QII	9,72
Both genders	National Total	From 25 years of age and over	2003QI	10,37
Both genders	National Total	From 25 years of age and over	2002QIV	9,92
Both genders	National Total	From 25 years of age and over	2002QIII	9,87
Both genders	National Total	From 25 years of age and over	2002QII	9,6
Both genders	National Total	From 25 years of age and over	2002QI	9,96
Both genders	National Total	From 16 to 19 years	2026QI	39,13
Both genders	National Total	From 16 to 19 years	2025QIV	30,43
Both genders	National Total	From 16 to 19 years	2025QIII	37,36
Both genders	National Total	From 16 to 19 years	2025QII	39,88
Both genders	National Total	From 16 to 19 years	2025QI	40,22
Both genders	National Total	From 16 to 19 years	2024QIV	38,79
Both genders	National Total	From 16 to 19 years	2024QIII	38,43
Both genders	National Total	From 16 to 19 years	2024QII	44,52
Both genders	National Total	From 16 to 19 years	2024QI	41,06
Both genders	National Total	From 16 to 19 years	2023QIV	42,86
Both genders	National Total	From 16 to 19 years	2023QIII	41,41
Both genders	National Total	From 16 to 19 years	2023QII	43,5
Both genders	National Total	From 16 to 19 years	2023QI	45,3
Both genders	National Total	From 16 to 19 years	2022QIV	41,29
Both genders	National Total	From 16 to 19 years	2022QIII	43,83
Both genders	National Total	From 16 to 19 years	2022QII	48,78
Both genders	National Total	From 16 to 19 years	2022QI	45,73
Both genders	National Total	From 16 to 19 years	2021QIV	50,23
Both genders	National Total	From 16 to 19 years	2021QIII	43,25
Both genders	National Total	From 16 to 19 years	2021QII	55,15
Both genders	National Total	From 16 to 19 years	2021QI	58,42
Both genders	National Total	From 16 to 19 years	2020QIV	60,14
Both genders	National Total	From 16 to 19 years	2020QIII	55,93
Both genders	National Total	From 16 to 19 years	2020QII	54,5
Both genders	National Total	From 16 to 19 years	2020QI	47,29
Both genders	National Total	From 16 to 19 years	2019QIV	43,9
Both genders	National Total	From 16 to 19 years	2019QIII	42,15
Both genders	National Total	From 16 to 19 years	2019QII	46,26
Both genders	National Total	From 16 to 19 years	2019QI	49,26
Both genders	National Total	From 16 to 19 years	2018QIV	46,89
Both genders	National Total	From 16 to 19 years	2018QIII	45,43
Both genders	National Total	From 16 to 19 years	2018QII	51,64
